family,depth_bin,depth_center,K,normalized_mode_energy,n_tasks
Classification,2,0.22727272727272727,55,0.0044945731030216814,2
Classification,2,0.22727272727272727,56,0.004411751685992695,2
Classification,2,0.22727272727272727,57,0.004258570929000241,2
Classification,2,0.22727272727272727,58,0.0042443984444289155,2
Classification,2,0.22727272727272727,59,0.004097711516286075,2
Classification,2,0.22727272727272727,60,0.004031989517002198,2
Classification,2,0.22727272727272727,61,0.004010640995466271,2
Classification,2,0.22727272727272727,62,0.0038263689957940537,2
Classification,2,0.22727272727272727,63,0.003842883247528756,2
Classification,2,0.22727272727272727,64,0.0037818739447781392,2
Classification,2,0.22727272727272727,65,0.0036725858083997026,2
Classification,2,0.22727272727272727,66,0.0036071717170173363,2
Classification,2,0.22727272727272727,67,0.00354939704649073,2
Classification,2,0.22727272727272727,68,0.0034611154641786285,2
Classification,2,0.22727272727272727,69,0.003412786108788279,2
Classification,2,0.22727272727272727,70,0.0034088855079783594,2
Classification,2,0.22727272727272727,71,0.003305002548506649,2
Classification,2,0.22727272727272727,72,0.0032921745445297704,2
Classification,2,0.22727272727272727,73,0.0031442697808085384,2
Classification,2,0.22727272727272727,74,0.0031278616148103606,2
Classification,2,0.22727272727272727,75,0.003114667757068713,2
Classification,2,0.22727272727272727,76,0.00301640581147891,2
Classification,2,0.22727272727272727,77,0.0029612076547239014,2
Classification,2,0.22727272727272727,78,0.002926250645537164,2
Classification,2,0.22727272727272727,79,0.002898394185680972,2
Classification,2,0.22727272727272727,80,0.0028636304862663113,2
Classification,3,0.3181818181818182,1,0.21693128877790166,3
Classification,3,0.3181818181818182,2,0.062023197115869844,3
Classification,3,0.3181818181818182,3,0.05375486368588023,3
Classification,3,0.3181818181818182,4,0.04245237207937469,3
Classification,3,0.3181818181818182,5,0.035262277170218105,3
Classification,3,0.3181818181818182,6,0.03236481163795281,3
Classification,3,0.3181818181818182,7,0.02968671240331544,3
Classification,3,0.3181818181818182,8,0.026337556862347775,3
Classification,3,0.3181818181818182,9,0.02434324912889596,3
