metric,task,model,seed,pearson,spearman,kendall,distance,family
Matrix entropy,Banking77Classification.v2,e5_base_v2,44,0.3160923816215314,0.3966957201484142,0.3117146000796786,0.5860643482164661,Core class-organized
Participation ratio,Banking77Classification.v2,e5_base_v2,11,0.4355125214019006,0.3838965578054549,0.3090660917068965,0.4731013823372725,Core class-organized
Participation ratio,Banking77Classification.v2,e5_base_v2,22,0.4968584349593743,0.5412073492557151,0.4165673409962518,0.5207021045338842,Core class-organized
Participation ratio,Banking77Classification.v2,e5_base_v2,33,0.6267541159042822,0.7227648084766911,0.5360507693777029,0.7006151121828627,Core class-organized
Participation ratio,Banking77Classification.v2,e5_base_v2,44,0.6504945539419682,0.6969723416496445,0.519524333466131,0.7161347646840479,Core class-organized
Spectral gap,Banking77Classification.v2,e5_base_v2,11,0.5530531740727026,0.3838965578054549,0.3090660917068965,0.5239281498446808,Core class-organized
Spectral gap,Banking77Classification.v2,e5_base_v2,22,0.6089500849049312,0.546786806464537,0.4165673409962518,0.5809976080738313,Core class-organized
Spectral gap,Banking77Classification.v2,e5_base_v2,33,0.7538328781544837,0.8082827819987423,0.6144972234329765,0.7685729651613975,Core class-organized
Spectral gap,Banking77Classification.v2,e5_base_v2,44,0.7848300891344544,0.8650170564347366,0.6753816335059704,0.8236256478364773,Core class-organized
Anisotropy,Banking77Classification.v2,e5_large_v2,11,0.1235275469998339,-0.0260053510834585,-0.0069758010641515,0.5188475407849061,Core class-organized
Anisotropy,Banking77Classification.v2,e5_large_v2,22,0.3280580433752997,0.220594181139716,0.1827093759208397,0.4824267680951297,Core class-organized
Anisotropy,Banking77Classification.v2,e5_large_v2,33,0.3113000124614898,0.1052856774045302,0.0828078671210825,0.4594372501570211,Core class-organized
Anisotropy,Banking77Classification.v2,e5_large_v2,44,0.1072596517483098,-0.1933140578756391,-0.1581512577596816,0.5428371907441563,Core class-organized
Curvature,Banking77Classification.v2,e5_large_v2,11,0.7650270521808015,0.2833418849391748,0.2092740319245467,0.7264093654161558,Core class-organized
Curvature,Banking77Classification.v2,e5_large_v2,22,0.8585116211542458,0.4306838774632551,0.330282333395364,0.8070077932673767,Core class-organized
Curvature,Banking77Classification.v2,e5_large_v2,33,0.9173620111888364,0.6758411498099629,0.5313504806936127,0.8855646711495578,Core class-organized
Curvature,Banking77Classification.v2,e5_large_v2,44,0.8158315914138893,0.4759392104898235,0.3713116486531656,0.8216713240166862,Core class-organized
DiME,Banking77Classification.v2,e5_large_v2,11,0.1160490243123405,-0.0306630259043764,-0.0069758010641515,0.5141981407634997,Core class-organized
DiME,Banking77Classification.v2,e5_large_v2,22,0.325130680652236,0.2447155907176038,0.2108185106778919,0.4881594006783232,Core class-organized
DiME,Banking77Classification.v2,e5_large_v2,33,0.3140151414219082,0.1521223206616926,0.1242118006816237,0.4643071511323635,Core class-organized
DiME,Banking77Classification.v2,e5_large_v2,44,0.1099113868238247,-0.1608372961525317,-0.1237705495510552,0.542923018932345,Core class-organized
Harmora,Banking77Classification.v2,e5_large_v2,11,0.7805623125150183,0.457228411586778,0.3418142521434263,0.7417648180316259,Core class-organized
Harmora,Banking77Classification.v2,e5_large_v2,22,0.7608770232192426,0.2851773100095447,0.2108185106778919,0.7632328203406467,Core class-organized
Harmora,Banking77Classification.v2,e5_large_v2,33,0.7095871963724427,0.133929574933704,0.0966091783079295,0.7632309081655321,Core class-organized
Harmora,Banking77Classification.v2,e5_large_v2,44,0.6718552050237641,0.0521947956264225,-0.0206284249251758,0.711081841895891,Core class-organized
InfoNCE,Banking77Classification.v2,e5_large_v2,11,0.1116018845432345,-0.0624904705139824,-0.0488306074490609,0.5169099014438112,Core class-organized
InfoNCE,Banking77Classification.v2,e5_large_v2,22,0.3229971926828654,0.2661136153431495,0.2037912269886288,0.4834035671351283,Core class-organized
InfoNCE,Banking77Classification.v2,e5_large_v2,33,0.3126775710411416,0.1397357703788067,0.1173111450882002,0.4580427078484668,Core class-organized
InfoNCE,Banking77Classification.v2,e5_large_v2,44,0.1123676405799408,-0.147305312101237,-0.1237705495510552,0.5347896052957235,Core class-organized
LiDAR,Banking77Classification.v2,e5_large_v2,11,-0.1705581192646977,-0.0912127985763097,-0.0558064085132124,0.3006652108894679,Core class-organized
LiDAR,Banking77Classification.v2,e5_large_v2,22,-0.1058780689338239,0.0361821143668317,0.0,0.3103107162635265,Core class-organized
LiDAR,Banking77Classification.v2,e5_large_v2,33,0.0010985780030721,0.2666979107783874,0.2139203233961298,0.343402445014553,Core class-organized
LiDAR,Banking77Classification.v2,e5_large_v2,44,0.0890965124059423,0.3239943609995712,0.2200365325352092,0.3858693379332013,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_large_v2,11,0.1342809205525863,-0.0287223280623273,-0.0139516021283031,0.514600732912035,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_large_v2,22,0.3434244945037339,0.2665026703363412,0.2108185106778919,0.4809108486839072,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_large_v2,33,0.3280678270272242,0.1107047931532928,0.0966091783079295,0.4566295820237059,Core class-organized
Matrix entropy,Banking77Classification.v2,e5_large_v2,44,0.1272180997453432,-0.1604506680367804,-0.1306466911927804,0.532071143260607,Core class-organized
Participation ratio,Banking77Classification.v2,e5_large_v2,11,0.1760842373333633,0.1249809410279648,0.0697580106415155,0.3038614267357784,Core class-organized
Participation ratio,Banking77Classification.v2,e5_large_v2,22,0.2179170883928742,0.2330439409218516,0.1405456737852613,0.3040948150658996,Core class-organized
Participation ratio,Banking77Classification.v2,e5_large_v2,33,0.3530284852857582,0.496236170708117,0.3588340908580241,0.4543416505199813,Core class-organized
Participation ratio,Banking77Classification.v2,e5_large_v2,44,0.4199915159252035,0.5517183211770741,0.3919400735783415,0.5186035952378943,Core class-organized
Spectral gap,Banking77Classification.v2,e5_large_v2,11,0.3434917056197217,0.2297786244986185,0.1604434244754858,0.3846447021883669,Core class-organized
Spectral gap,Banking77Classification.v2,e5_large_v2,22,0.3529678625648409,0.1855792317524595,0.0983819716496829,0.3801119355191953,Core class-organized
Spectral gap,Banking77Classification.v2,e5_large_v2,33,0.506405096734426,0.58603866025904,0.4071386800119889,0.5632292938361534,Core class-organized
Spectral gap,Banking77Classification.v2,e5_large_v2,44,0.5725058631142829,0.6019799762247403,0.4469492067121438,0.6094928512248698,Core class-organized
Anisotropy,Banking77Classification.v2,minilm_l6,11,0.8279524606764296,0.6666937223947137,0.4879500364742666,0.8490181309178297,Core class-organized
Anisotropy,Banking77Classification.v2,minilm_l6,22,0.8902425799641678,0.8214285714285715,0.7142857142857143,0.8912723461214219,Core class-organized
Anisotropy,Banking77Classification.v2,minilm_l6,33,0.9542584793895936,0.7455777916396408,0.6508140266182865,0.9499349470352996,Core class-organized
Anisotropy,Banking77Classification.v2,minilm_l6,44,0.9609466817882468,0.9285714285714288,0.8095238095238096,0.9497026466085606,Core class-organized
Curvature,Banking77Classification.v2,minilm_l6,11,0.7994562629334498,0.6306562238868914,0.5855400437691199,0.7840369121540616,Core class-organized
Curvature,Banking77Classification.v2,minilm_l6,22,0.8744857391701413,0.7500000000000002,0.6190476190476191,0.8567888805211286,Core class-organized
Curvature,Banking77Classification.v2,minilm_l6,33,0.7692785088478462,0.4364357804719848,0.3504383220252312,0.7550653286575993,Core class-organized
Curvature,Banking77Classification.v2,minilm_l6,44,0.8985226188852042,0.9642857142857144,0.9047619047619048,0.8847574321746005,Core class-organized
DiME,Banking77Classification.v2,minilm_l6,11,-0.8025443600988199,-0.3783937343321348,-0.2927700218845599,0.8462835867931634,Core class-organized
DiME,Banking77Classification.v2,minilm_l6,22,-0.8107404364866768,-0.1071428571428571,-0.0476190476190476,0.8687354173765579,Core class-organized
DiME,Banking77Classification.v2,minilm_l6,33,-0.7203827266219769,0.0909241209316635,0.1501878522965276,0.8219208085701885,Core class-organized
DiME,Banking77Classification.v2,minilm_l6,44,-0.8979230252895695,-0.1071428571428571,-0.1428571428571428,0.9258968265845606,Core class-organized
Harmora,Banking77Classification.v2,minilm_l6,11,0.6818900452105074,0.7387687194103585,0.4879500364742666,0.7960283014304008,Core class-organized
Harmora,Banking77Classification.v2,minilm_l6,22,0.6366985110304118,0.6785714285714287,0.5238095238095238,0.7407541848550648,Core class-organized
Harmora,Banking77Classification.v2,minilm_l6,33,0.3240762720692878,0.2000330660496597,0.1501878522965276,0.6372432310106382,Core class-organized
Harmora,Banking77Classification.v2,minilm_l6,44,0.6034819192755967,0.5357142857142858,0.4285714285714286,0.7199061883319586,Core class-organized
InfoNCE,Banking77Classification.v2,minilm_l6,11,0.7744724886308112,0.6666937223947137,0.4879500364742666,0.7901390913860968,Core class-organized
InfoNCE,Banking77Classification.v2,minilm_l6,22,0.8442450841510923,0.8214285714285715,0.7142857142857143,0.832861970771484,Core class-organized
InfoNCE,Banking77Classification.v2,minilm_l6,33,0.95152499342546,0.7455777916396408,0.6508140266182865,0.9415739214557304,Core class-organized
InfoNCE,Banking77Classification.v2,minilm_l6,44,0.9080298767153584,0.9285714285714288,0.8095238095238096,0.8877551796138266,Core class-organized
LiDAR,Banking77Classification.v2,minilm_l6,11,-0.190279457128877,-0.3603749850782236,-0.1951800145897066,0.5648453517300096,Core class-organized
LiDAR,Banking77Classification.v2,minilm_l6,22,-0.0628773297093711,-0.0714285714285714,0.0476190476190476,0.4668278214027948,Core class-organized
LiDAR,Banking77Classification.v2,minilm_l6,33,0.2649424369083674,0.490990253030983,0.3504383220252312,0.5030115115793071,Core class-organized
LiDAR,Banking77Classification.v2,minilm_l6,44,0.0788840431184865,0.2142857142857143,0.1428571428571428,0.4120313680956879,Core class-organized
Matrix entropy,Banking77Classification.v2,minilm_l6,11,0.7985119461962897,0.6666937223947137,0.4879500364742666,0.818367787439122,Core class-organized
