metric,family,task,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds
DiME,Similarity-dominated,STS16,0.7007238565522624,0.0,0.7087155295875263,0.0,0.7523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735981381320417,0.0,0.1965764414286536,0.0,4
Harmora,Similarity-dominated,STS16,0.3708686768890485,0.0,0.5328570393799275,0.0,0.1142857142857142,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.61049386036106,0.0,0.41323840672268,0.0,4
InfoNCE,Similarity-dominated,STS16,0.6829018175857183,0.0,0.7852190142610952,0.0,0.7047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632440178763323,0.0,0.2082826635106613,0.0,4
LiDAR,Similarity-dominated,STS16,0.5294593369029568,0.0,0.6372542662675421,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6462299189584338,0.0,0.3090697709262899,0.0,4
Matrix entropy,Similarity-dominated,STS16,0.8540532314119589,0.0,0.8264232675206113,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934750323483557,0.0,0.0958636264038145,0.0,4
Participation ratio,Similarity-dominated,STS16,0.8540532314119589,0.0,0.8264232675206113,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8169978323735217,0.0,0.0958636264038145,0.0,4
Spectral gap,Similarity-dominated,STS16,0.8540532314119589,0.0,0.9017254407352918,0.0,0.9142857142857144,0.0,0.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.93573481261487,0.0,0.0958636264038145,0.0,4
Anisotropy,Similarity-dominated,STSBenchmark,0.9451533641444096,0.0,0.8974795359549049,0.0,0.9523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912479788753851,0.0,0.0433254276636435,0.0,4
Curvature,Similarity-dominated,STSBenchmark,0.8943652949090778,0.0,0.8787361710204761,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9073643012714692,0.0,0.0834448403770344,0.0,4
DiME,Similarity-dominated,STSBenchmark,0.7236000645317874,0.0,0.7642145751550647,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290703614169991,0.0,0.2183387408098105,0.0,4
Harmora,Similarity-dominated,STSBenchmark,0.9522578673898972,0.0,0.7054084250747794,0.0,0.961904761904762,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6877344228049714,0.0,0.0377133124145162,0.0,4
InfoNCE,Similarity-dominated,STSBenchmark,0.9448620984379488,0.0,0.8974289583814592,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.918554811044886,0.0,0.0435555094380187,0.0,4
LiDAR,Similarity-dominated,STSBenchmark,0.9448620984379488,0.0,0.7651692159940899,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7185402410022282,0.0,0.0435555094380187,0.0,4
