metric,task,seed,ndcg_at_1,ndcg_at_3,selected_percentile,top1_overlap,top3_overlap,top5_overlap,ndcg_at_5,regret_at_1,family
Spectral gap,ArXivHierarchicalClusteringP2P,33,0.7210774020505292,0.7757045308619106,0.8380952380952381,0.0,0.0,0.0,0.7827973337735818,0.0415045956054136,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,44,0.7621372302109249,0.7973145967016567,0.8857142857142857,0.0,0.0,0.0,0.8240846702151651,0.0391142595253877,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringS2S,11,0.5231040998890036,0.5163360378845165,0.2476190476190476,0.0,0.0,0.0,0.5461770437792369,0.0826500066905927,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringS2S,22,0.4253799272403,0.4770990326056049,0.0761904761904762,0.0,0.0,0.0,0.5135051042807425,0.0913823942740773,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringS2S,33,0.5598157144689301,0.5379740397527236,0.238095238095238,0.0,0.0,0.2,0.5655240948865065,0.0869588199892784,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringS2S,44,0.5679721098242281,0.5384943282916139,0.1714285714285714,0.0,0.0,0.2,0.5813834180448523,0.0820751150592445,Cluster-organized
Curvature,ArXivHierarchicalClusteringS2S,11,0.5297409873495749,0.587793942797029,0.2857142857142857,0.0,0.0,0.0,0.5845541545206456,0.0814997791610768,Cluster-organized
Curvature,ArXivHierarchicalClusteringS2S,22,0.5450324072340933,0.6109857724962993,0.2285714285714285,0.0,0.0,0.0,0.6106925267496578,0.0723539429181211,Cluster-organized
Curvature,ArXivHierarchicalClusteringS2S,33,0.5752444460014156,0.6227997751870858,0.2761904761904762,0.0,0.0,0.0,0.6414371691020544,0.0839108595506689,Cluster-organized
Curvature,ArXivHierarchicalClusteringS2S,44,0.5838473523023139,0.6316224246402755,0.2095238095238095,0.0,0.0,0.0,0.6365213541200958,0.0790591932111153,Cluster-organized
DiME,ArXivHierarchicalClusteringS2S,11,0.5822509581022036,0.5758517860313879,0.4380952380952381,0.0,0.0,0.0,0.5932807476069974,0.0723993666118864,Cluster-organized
DiME,ArXivHierarchicalClusteringS2S,22,0.6614728482976056,0.6136836067860488,0.5238095238095238,0.0,0.0,0.0,0.6285648943996515,0.0538363052664981,Cluster-organized
DiME,ArXivHierarchicalClusteringS2S,33,0.7099111956246251,0.6329215821923208,0.7047619047619048,0.0,0.0,0.0,0.6502035195648418,0.0573073163894277,Cluster-organized
DiME,ArXivHierarchicalClusteringS2S,44,0.6353881607090974,0.6359002948355925,0.3428571428571428,0.0,0.0,0.0,0.6544589045349541,0.0692676545710702,Cluster-organized
Harmora,ArXivHierarchicalClusteringS2S,11,1.0,0.9763123214772484,1.0,1.0,0.6666666666666666,0.6,0.9635725549062434,0.0,Cluster-organized
Harmora,ArXivHierarchicalClusteringS2S,22,1.0,0.9835307340727274,1.0,1.0,0.3333333333333333,0.2,0.9782028989244952,0.0,Cluster-organized
Harmora,ArXivHierarchicalClusteringS2S,33,1.0,0.9907359427981822,1.0,1.0,0.6666666666666666,0.6,0.9830094258742024,0.0,Cluster-organized
Harmora,ArXivHierarchicalClusteringS2S,44,1.0,0.9755069107156428,1.0,1.0,0.6666666666666666,0.6,0.9824239549337136,0.0,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringS2S,11,0.5231040998890036,0.4623517101102607,0.2476190476190476,0.0,0.0,0.0,0.4286016545513386,0.0826500066905927,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringS2S,22,0.4253799272403,0.4208113470993874,0.0761904761904762,0.0,0.0,0.0,0.3865052713992051,0.0913823942740773,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringS2S,33,0.5598157144689301,0.4838425729061525,0.238095238095238,0.0,0.0,0.0,0.4635964088804782,0.0869588199892784,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringS2S,44,0.5679721098242281,0.4831299975055794,0.1714285714285714,0.0,0.0,0.0,0.4611427232421787,0.0820751150592445,Cluster-organized
LiDAR,ArXivHierarchicalClusteringS2S,11,0.2559499409531318,0.3114052004951489,0.0285714285714285,0.0,0.0,0.0,0.3706049086205475,0.1289500336321755,Cluster-organized
